Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
28-01-2015,148.0672537,76.6387522,107.5382355,125.6264579,70.44743628,88.01604997,23.51569329,36.74130811,87.43318942,,75.92779503,163.8399892,96.10269393,130.170041,29.92416348,90.96590842,49.41354764,79.17727511,54.19981751,37.53029145,44.52246263,27.43275754,74.65605106,95.42166154,106.3370759,101.9811779,38.28809902,59.88378989,78.17553851,68.25401764
29-01-2015,150.0452169,76.89193296,110.8862735,132.9495699,70.43863145,87.41349096,23.87976763,36.89907137,87.95210874,,75.60837168,166.6235175,98.74519687,133.5456151,30.30956721,91.77266164,50.24387575,83.18162254,54.76430707,38.2774349,45.26680987,27.3297237,75.11196588,95.38516444,105.9096176,102.8556247,38.33798579,60.28243178,78.98592765,68.99419948
30-01-2015,146.5860392,75.66353744,109.2635476,130.781425,70.41221697,87.01461386,23.12968676,36.08396124,85.81982205,,75.47024266,163.2340511,95.80908249,131.6817485,29.27296407,89.7647425,49.07961134,82.44139796,53.16786004,36.81048251,44.01668821,26.83172685,73.9020381,93.81578925,104.3907763,99.90319155,38.0054073,61.96207534,76.51874295,68.2355131
02-02-2015,148.5007799,77.0138348,110.6344712,131.5821092,71.17823708,90.01043545,23.53762548,36.45207549,86.73500705,,77.33498441,166.1501283,95.81825785,132.8412968,29.81341528,90.38325331,50.06336964,82.50382654,53.697069,37.612295,43.85923014,27.17517296,74.62974828,95.42166154,106.0278507,100.8810675,39.06134401,62.0665973,77.17605858,69.29027222
03-02-2015,149.8736128,78.5141652,110.6531232,132.5537261,73.89012439,92.95533655,23.79203888,36.48713399,88.78237967,,79.64001241,170.6473254,98.39653329,136.1138,29.85771456,91.84437304,51.19153283,83.76131649,53.82055109,37.90386318,44.54154845,27.4928606,75.35745847,96.7538056,108.1287628,101.3700055,39.76807331,63.14827803,77.60826612,69.19774949
04-02-2015,148.8530199,78.40164042,111.5017903,132.4457686,72.1555731,91.95390044,23.41480522,36.53095711,95.55663563,,78.95800038,169.265029,99.47005011,134.8168237,29.98175254,90.85834132,50.88467244,83.87725528,52.08298168,38.12253931,44.15506046,27.77620364,75.21717699,97.38338053,107.1283285,101.4734347,39.74312992,64.38795708,78.02246501,69.08672221
05-02-2015,150.4245523,79.4518717,112.2945012,133.687279,73.58195538,92.76862812,23.91485914,36.62736799,96.83978161,,79.73497612,171.1491179,100.0022208,135.6328022,30.28513933,91.84437304,51.23665935,84.13588797,52.18882347,38.67834115,44.536777,28.57302644,76.01502792,98.00383119,109.2383355,102.3196735,39.7930167,66.06760064,78.5897374,69.19774949
06-02-2015,149.9910261,79.71442952,111.348883,133.1474919,73.26498154,93.02323052,23.89731338,36.32937074,96.254818,,79.58821403,173.6675482,100.0480976,135.555499,29.70959676,90.62527928,52.24749357,83.82374507,51.85365779,38.64189513,43.79720121,28.72892656,75.05936032,97.81222143,108.9654898,101.1725497,41.01524266,65.00293511,78.63475902,70.45605861
09-02-2015,148.8801153,79.68629833,112.088525,132.7696409,74.55048656,93.71914375,23.79203888,36.13654899,95.98120599,,79.64040303,172.5219465,99.40582261,134.7164941,29.38390212,89.44204121,52.18431643,82.69111228,51.44793093,38.5963376,43.50137089,28.64231538,74.56837514,96.50745019,108.5198417,100.1288552,40.81569557,64.52650944,77.35614505,70.68736543
10-02-2015,149.7652312,80.49272592,114.2419129,133.1834777,73.87251474,93.50697509,24.11663528,37.16201012,96.16046903,,79.16200392,174.7374078,101.5436809,137.1470132,30.07098395,89.95298492,52.76193598,83.85050018,51.90657869,38.81501373,44.25526105,29.57771607,74.86647328,97.19177077,108.5926006,102.4607133,41.16490298,64.30531181,78.59874173,70.95568135
11-02-2015,149.4807297,80.65213602,116.9196041,133.8941974,73.44107812,93.33724015,23.62535424,37.13571624,96.11329455,,78.80537914,177.6629528,101.213368,136.83563,29.93713684,89.97987669,52.68070824,84.01994918,51.80955705,38.61456061,43.56817128,29.66432724,75.0856631,98.33230507,108.5289366,103.2881467,41.41433685,64.7720145,77.74333097,73.58332687
12-02-2015,150.780325,75.46661908,118.398888,134.048078,73.54673607,94.99215576,25.84489179,36.96042374,97.72666192,,80.34495443,179.6795906,102.9108092,137.1124151,30.45021743,88.24087529,53.7637449,84.8047656,51.93303914,39.26147751,43.8974018,30.20131652,75.42759921,98.57866048,109.3518875,103.2787441,41.17321745,65.97009831,77.33813641,73.98117461
